Justin Willis,Record: 7-1-0,"6' 1""",264 lbs.,"78""",Southpaw,19-Jul-87,4.61,61%,58%,,1.84,66%,0%,0
Allen Crowder,Record: 9-3-0 (1 NC),"6' 3""",245 lbs.,"76""",Orthodox,8-Nov-89,3.58,54%,60%,,1.79,33%,100%,0.9
Nicco Montano,Record: 5-2-0,"5' 5""",125 lbs.,"65""",Southpaw,16-Dec-88,7.44,40%,67%,,1.8,50%,77%,0.6
Roxanne Modafferi,Record: 22-15-0,"5' 7""",125 lbs.,"69""",,24-Sep-82,4.21,31%,53%,,1.17,13%,50%,0.2
Sean O'Malley,Record: 10-0-0,"5' 11""",135 lbs.,"72""",Switch,24-Oct-94,6.75,56%,66%,,1.31,50%,61%,1.3
Terrion Ware,Record: 17-8-0,"5' 8""",135 lbs.,"71""",Orthodox,31-Mar-86,5.18,32%,46%,,0.67,22%,47%,0
Lauren Murphy,Record: 10-4-0,"5' 7""",125 lbs.,"67""",Orthodox,27-Jul-83,3.73,40%,60%,,1,30%,62%,0
Barb Honchak,Record: 10-5-0,"5' 4""",125 lbs.,"65""",,30-Aug-79,4.04,30%,66%,,0,0%,0%,1.3
Gerald Meerschaert,Record: 28-9-0,"6' 1""",185 lbs.,"77""",Southpaw,18-Dec-87,3.96,46%,52%,,3,42%,50%,2
Eric Spicely,Record: 10-5-0,"6' 1""",185 lbs.,"73""",Orthodox,29-Sep-86,2.01,40%,58%,,1.95,20%,0%,1.5
DeAnna Bennett,Record: 8-3-1,"5' 4""",125 lbs.,"68""",,18-Nov-84,3.13,58%,58%,,0,0%,0%,1
Melinda Fabian,Record: 4-4-2,"5' 6""",125 lbs.,"66""",,25-Jun-87,4.03,41%,62%,,0,0%,100%,0
Brett Johns,Record: 15-2-0,"5' 7""",135 lbs.,"71""",Orthodox,21-Feb-92,3.41,45%,55%,,3.72,48%,78%,0.5
Joe Soto,Record: 18-7-0,"5' 6""",135 lbs.,"65""",Orthodox,22-Mar-87,3.36,41%,67%,,0.85,21%,70%,1.9
Montana De La Rosa,Record: 9-4-0,"5' 7""",125 lbs.,"68""",,14-Feb-95,3.79,37%,55%,,0,0%,0%,1.8
Christina Marks,Record: 8-9-0,"5' 7""",125 lbs.,"69""",Orthodox,8-Nov-85,5,58%,64%,,7.5,100%,0%,0
Ryan Janes,Record: 10-3-0,"6' 3""",185 lbs.,"76""",Orthodox,22-Aug-81,7.69,48%,59%,,0.35,100%,58%,0
Andrew Sanchez,Record: 11-4-0,"6' 1""",185 lbs.,"74""",Orthodox,8-Apr-88,4.83,48%,48%,,2.79,37%,100%,0
Rachael Ostovich,Record: 4-4-0,"5' 3""",125 lbs.,"62""",,25-Feb-91,2.68,39%,63%,,0.94,100%,100%,1.9
Karine Gevorgyan,Record: 3-3-0,"5' 4""",125 lbs.,"63""",,9-Mar-89,1.2,20%,76%,,0,0%,0%,0
Shana Dobson,Record: 3-2-0,"5' 6""",125 lbs.,"69""",,30-Mar-89,4.46,33%,63%,,0.66,25%,0%,0
Ariel Beck,Record: 4-5-0,"5' 6""",125 lbs.,"66""",,16-Sep-90,4.44,34%,64%,,0,0%,0%,0
Gillian Robertson,Record: 5-2-0,"5' 5""",125 lbs.,"63""",,17-May-95,2.05,33%,60%,,4.85,60%,0%,3.2
Emily Whitmire,Record: 3-2-0,"5' 5""",115 lbs.,"63""",,24-May-91,3.6,31%,57%,,0.87,50%,75%,0
Kelvin Gastelum,Record: 16-3-0 (1 NC),"5' 9""",185 lbs.,"71""",Southpaw,24-Oct-91,3.86,43%,61%,,0.82,50%,62%,0.2
Michael Bisping,Record: 31-9-0,"6' 1""",185 lbs.,"75""",Orthodox,28-Feb-79,4.33,38%,65%,,1.05,43%,63%,0.3
Li Jingliang,Record: 15-5-0,"6' 0""",170 lbs.,"71""",Orthodox,20-Mar-88,4.84,43%,60%,,1.15,32%,56%,0
Zak Ottow,Record: 16-6-0,"5' 11""",170 lbs.,"72""",Orthodox,22-Dec-86,3.05,39%,56%,,0.77,30%,61%,0.5
Wang Guan,Record: 20-1-1,"5' 9""",145 lbs.,"71""",Orthodox,14-Mar-86,4.73,43%,60%,,0,0%,0%,0
Alex Caceres,Record: 14-11-0 (1 NC),"5' 10""",145 lbs.,"73""",Southpaw,20-Jun-88,3.86,49%,63%,,0.57,75%,59%,0.8
Alex Garcia,Record: 15-5-0,"5' 9""",170 lbs.,"72""",Orthodox,14-Jul-87,1.81,30%,61%,,4.12,54%,66%,0.1
Muslim Salikhov,Record: 14-2-0,"5' 11""",170 lbs.,"70""",Orthodox,9-Jun-84,1.99,46%,63%,,0,0%,62%,0
